Request_ID,Request_Timestamp,Request_Time,Day_Of_Week,Pickup_Area,Traffic_Level,Drivers_Available,Ride_Type,Weather,Wait_Time_Minutes
R000021,2025-06-13 22:59:00,22:59,Friday,Industrial,Low,9.0,Standard,Clear,15.0
R000022,2025-07-10 09:15:00,09:15,Thursday,City_Center,High,16.0,Standard,Clear,14.0
R000023,2025-07-14 19:38:00,19:38,Monday,University,High,17.0,Standard,Clear,15.0
R000024,2025-07-03 11:08:00,11:08,Thursday,Industrial,Medium,9.0,Standard,Rainy,20.0
R000025,2025-05-20 08:13:00,08:13,Tuesday,Airport,High,11.0,Standard,Clear,22.0
R000026,2025-05-01 22:38:00,22:38,Thursday,Airport,Low,12.0,Standard,Clear,11.0
R000027,2025-07-24 23:31:00,23:31,Thursday,City_Center,Low,18.0,Standard,Clear,10.0
R000028,2025-05-31 13:52:00,13:52,Saturday,Industrial,Medium,9.0,Standard,Clear,19.0
R000029,2025-05-17 05:48:00,05:48,Saturday,Residential,Low,5.0,Standard,Clear,16.0
R000030,2025-07-28 04:57:00,04:57,Monday,Mall,Low,5.0,Premium,Rainy,20.0
R000031,2025-06-10 11:50:00,11:50,Tuesday,Industrial,Medium,12.0,Shared,Clear,17.0
R000032,2025-07-15 14:11:00,14:11,Tuesday,Airport,Medium,17.0,Standard,Rainy,17.0
R000033,2025-05-28 01:54:00,01:54,Wednesday,Mall,Low,6.0,Standard,Stormy,22.0
R000034,2025-06-18 00:54:00,00:54,Wednesday,University,Low,7.0,Premium,Clear,14.0
R000035,2025-07-29 22:06:00,22:06,Tuesday,City_Center,Low,13.0,Shared,Rainy,15.0
R000036,2025-06-24 02:05:00,02:05,Tuesday,Mall,Low,11.0,Standard,Rainy,17.0
R000037,2025-05-08 02:25:00,02:25,Thursday,Residential,Low,7.0,Standard,Clear,11.0
R000038,2025-06-01 21:27:00,21:27,Sunday,Suburb,Medium,14.0,Premium,Rainy,17.0
R000039,2025-06-20 13:08:00,13:08,Friday,Residential,Medium,16.0,Premium,Rainy,15.0
R000040,2025-07-29 11:40:00,11:40,Tuesday,Residential,Medium,11.0,Standard,Clear,19.0
R000041,2025-07-08 15:21:00,15:21,Tuesday,City_Center,Medium,10.0,Premium,Clear,10.0
R000042,2025-06-07 12:56:00,12:56,Saturday,Industrial,Medium,7.0,Standard,Clear,16.0
R000043,2025-07-16 03:45:00,03:45,Wednesday,Suburb,Low,5.0,Premium,Clear,19.0
R000044,2025-05-19 05:55:00,05:55,Monday,University,Low,3.0,Standard,Rainy,21.0
R000045,2025-05-06 04:42:00,04:42,Tuesday,City_Center,Low,17.0,Standard,Clear,9.0
R000046,2025-06-14 05:02:00,05:02,Saturday,City_Center,Low,9.0,Standard,Clear,14.0
R000047,2025-07-09 21:22:00,21:22,Wednesday,Mall,Medium,15.0,Standard,Rainy,16.0
R000048,2025-05-16 06:17:00,06:17,Friday,Industrial,Medium,12.0,Shared,Clear,16.0
R000049,2025-06-23 20:04:00,20:04,Monday,Residential,Medium,20.0,Shared,Clear,14.0
R000050,2025-07-21 19:54:00,19:54,Monday,Residential,High,12.0,Premium,Clear,24.0
R000051,2025-06-01 07:37:00,07:37,Sunday,Industrial,High,13.0,Standard,Clear,20.0
R000052,2025-05-29 23:21:00,23:21,Thursday,Residential,Low,13.0,Standard,Clear,12.0
R000053,2025-06-21 19:33:00,19:33,Saturday,Mall,High,19.0,Standard,Stormy,22.0
R000054,2025-07-20 09:13:00,09:13,Sunday,Residential,High,11.0,Shared,Rainy,22.0
R000055,2025-07-08 09:27:00,09:27,Tuesday,Suburb,High,11.0,Standard,Clear,23.0
R000056,2025-05-29 20:39:00,20:39,Thursday,City_Center,Medium,24.0,Standard,Clear,12.0
R000057,2025-05-03 19:25:00,19:25,Saturday,Mall,High,15.0,Premium,Clear,19.0
R000058,2025-06-20 10:50:00,10:50,Friday,City_Center,Medium,22.0,Standard,Clear,10.0
R000059,2025-07-07 00:01:00,00:01,Monday,Suburb,Low,5.0,Standard,Clear,17.0
R000060,2025-06-13 17:31:00,17:31,Friday,Airport,High,11.0,Premium,Clear,19.0
R000061,2025-05-25 10:47:00,10:47,Sunday,City_Center,Medium,15.0,Standard,Stormy,21.0
R000062,2025-05-22 11:14:00,11:14,Thursday,Suburb,Medium,12.0,Shared,Clear,18.0
R000063,2025-06-11 09:48:00,09:48,Wednesday,City_Center,High,17.0,Standard,Clear,21.0
R000064,2025-07-14 16:13:00,16:13,Monday,City_Center,High,17.0,Standard,Clear,18.0
R000065,2025-05-08 05:13:00,05:13,Thursday,Suburb,Low,2.0,Premium,Clear,19.0
R000066,2025-06-13 13:47:00,13:47,Friday,Suburb,Medium,8.0,Standard,Rainy,22.0
R000067,2025-06-22 17:20:00,17:20,Sunday,Mall,High,15.0,Standard,Clear,15.0
R000068,2025-07-25 02:32:00,02:32,Friday,City_Center,Low,14.0,Standard,Clear,15.0
R000069,2025-07-06 06:35:00,06:35,Sunday,Suburb,Medium,10.0,Premium,Clear,14.0
R000070,2025-05-27 09:55:00,09:55,Tuesday,Mall,High,14.0,Standard,Clear,17.0
R000071,2025-05-11 11:56:00,11:56,Sunday,University,Medium,8.0,Standard,Clear,13.0
R000072,2025-05-27 07:37:00,07:37,Tuesday,City_Center,High,20.0,Premium,Clear,14.0
R000073,2025-05-07 12:34:00,12:34,Wednesday,Industrial,Medium,13.0,Standard,Clear,13.0
R000074,2025-07-14 23:35:00,23:35,Monday,City_Center,Low,14.0,Shared,Clear,12.0
R000075,2025-06-26 23:40:00,23:40,Thursday,Suburb,Low,6.0,Standard,Clear,18.0
R000076,2025-07-28 03:40:00,03:40,Monday,Airport,Low,9.0,Shared,Rainy,18.0
R000077,2025-06-08 13:49:00,13:49,Sunday,City_Center,Medium,12.0,Shared,Stormy,21.0
R000078,2025-06-20 22:28:00,22:28,Friday,Industrial,Low,8.0,Standard,Rainy,16.0
R000079,2025-07-19 07:00:00,07:00,Saturday,Residential,High,12.0,Shared,Clear,17.0
R000080,2025-05-21 02:22:00,02:22,Wednesday,Suburb,Low,1.0,Standard,Rainy,24.0
R000081,2025-07-29 04:31:00,04:31,Tuesday,University,Low,7.0,Standard,Clear,9.0
R000082,2025-06-26 00:04:00,00:04,Thursday,University,Low,10.0,Premium,Clear,15.0
R000083,2025-06-20 11:43:00,11:43,Friday,Suburb,Medium,8.0,Standard,Rainy,19.0
R000084,2025-05-17 04:24:00,04:24,Saturday,Suburb,Low,4.0,Standard,Clear,22.0
R000085,2025-05-31 12:21:00,12:21,Saturday,University,Medium,6.0,Standard,Rainy,18.0
R000086,2025-05-14 06:55:00,06:55,Wednesday,Residential,Medium,10.0,Standard,Clear,14.0
R000087,2025-07-26 22:38:00,22:38,Saturday,Airport,Low,18.0,Standard,Rainy,13.0
R000088,2025-05-02 21:00:00,21:00,Friday,Industrial,Medium,12.0,Standard,Clear,14.0
R000089,2025-07-29 09:22:00,09:22,Tuesday,Airport,High,14.0,Standard,Clear,16.0
R000090,2025-05-26 17:18:00,17:18,Monday,Airport,High,16.0,Standard,Rainy,19.0
R000091,2025-05-22 23:07:00,23:07,Thursday,City_Center,Low,22.0,Standard,Stormy,15.0
R000092,2025-05-28 04:09:00,04:09,Wednesday,City_Center,Low,11.0,Premium,Clear,11.0
R000093,2025-05-06 11:44:00,11:44,Tuesday,Suburb,Medium,14.0,Standard,Clear,16.0
R000094,2025-05-19 10:37:00,10:37,Monday,Industrial,Medium,6.0,Standard,Clear,17.0
R000095,2025-06-25 18:12:00,18:12,Wednesday,Suburb,High,17.0,Standard,Clear,20.0
R000096,2025-05-21 08:41:00,08:41,Wednesday,Suburb,High,9.0,Shared,Clear,22.0
R000097,2025-06-11 23:36:00,23:36,Wednesday,Industrial,Low,10.0,Standard,Clear,16.0
R000098,2025-05-20 10:49:00,10:49,Tuesday,Mall,Medium,11.0,Shared,Clear,16.0
R000099,2025-07-18 11:11:00,11:11,Friday,Suburb,Medium,19.0,Standard,Clear,17.0
R000100,2025-06-13 06:27:00,06:27,Friday,Residential,Medium,12.0,Standard,Rainy,22.0
R000101,2025-05-31 20:44:00,20:44,Saturday,Industrial,Medium,15.0,Standard,Clear,13.0
R000102,2025-05-09 06:18:00,06:18,Friday,Suburb,Medium,8.0,Shared,Clear,18.0
R000103,2025-06-19 23:00:00,23:00,Thursday,Industrial,Low,9.0,Shared,Rainy,14.0
R000104,2025-07-20 09:36:00,09:36,Sunday,University,High,12.0,Standard,Stormy,25.0
R000105,2025-07-22 23:19:00,23:19,Tuesday,City_Center,Low,22.0,Standard,Clear,7.0
R000106,2025-06-01 07:29:00,07:29,Sunday,Mall,High,13.0,Premium,Clear,22.0
R000107,2025-07-13 12:52:00,12:52,Sunday,Suburb,Medium,9.0,Shared,Clear,17.0
R000108,2025-06-09 05:07:00,05:07,Monday,Mall,Low,10.0,Standard,Clear,18.0
R000109,2025-06-21 06:49:00,06:49,Saturday,Suburb,Medium,5.0,Standard,Clear,16.0
R000110,2025-07-08 09:38:00,09:38,Tuesday,Airport,High,20.0,Standard,Rainy,21.0
R000111,2025-07-16 08:41:00,08:41,Wednesday,Airport,High,19.0,Standard,Clear,16.0
R000112,2025-05-27 02:39:00,02:39,Tuesday,City_Center,Low,17.0,Premium,Clear,14.0
R000113,2025-05-02 21:54:00,21:54,Friday,Residential,Medium,12.0,Shared,Clear,15.0
R000114,2025-05-01 10:59:00,10:59,Thursday,Residential,Medium,3.0,Premium,Clear,22.0
R000115,2025-05-08 09:38:00,09:38,Thursday,Mall,High,12.0,Standard,Clear,22.0
R000116,2025-05-10 13:48:00,13:48,Saturday,City_Center,Medium,21.0,Standard,Clear,13.0
R000117,2025-07-08 03:25:00,03:25,Tuesday,Suburb,Low,3.0,Standard,Clear,25.0
R000118,2025-07-05 01:35:00,01:35,Saturday,City_Center,Low,15.0,Standard,Clear,12.0
R000119,2025-06-10 20:07:00,20:07,Tuesday,Airport,Medium,14.0,Premium,Rainy,18.0
R000120,2025-06-17 14:26:00,14:26,Tuesday,City_Center,Medium,19.0,Standard,Rainy,13.0
R000121,2025-07-20 19:27:00,19:27,Sunday,Residential,High,9.0,Standard,Clear,23.0
R000122,2025-06-17 03:51:00,03:51,Tuesday,Suburb,Low,4.0,Standard,Rainy,19.0
R000123,2025-06-02 23:48:00,23:48,Monday,Airport,Low,16.0,Shared,Clear,12.0
R000124,2025-07-28 02:22:00,02:22,Monday,City_Center,Low,14.0,Standard,Stormy,18.0
R000125,2025-07-08 22:24:00,22:24,Tuesday,City_Center,Low,15.0,Standard,Clear,6.0
R000126,2025-06-20 13:53:00,13:53,Friday,City_Center,Medium,18.0,Premium,Clear,12.0
R000127,2025-07-03 09:40:00,09:40,Thursday,Suburb,High,10.0,Standard,Clear,17.0
R000128,2025-07-21 09:53:00,09:53,Monday,City_Center,High,10.0,Standard,Rainy,18.0
R000129,2025-05-23 04:42:00,04:42,Friday,City_Center,Low,12.0,Standard,Rainy,13.0
R000130,2025-06-21 10:49:00,10:49,Saturday,Mall,Medium,8.0,Premium,Clear,12.0
R000131,2025-07-21 12:51:00,12:51,Monday,University,Medium,9.0,Standard,Clear,11.0
R000132,2025-07-14 19:08:00,19:08,Monday,City_Center,High,22.0,Premium,Clear,13.0
R000133,2025-06-12 13:57:00,13:57,Thursday,Suburb,Medium,7.0,Standard,Clear,19.0
R000134,2025-07-13 02:17:00,02:17,Sunday,City_Center,Low,19.0,Premium,Rainy,14.0
R000135,2025-05-10 02:05:00,02:05,Saturday,City_Center,Low,10.0,Shared,Clear,14.0
R000136,2025-07-12 22:02:00,22:02,Saturday,Mall,Low,9.0,Standard,Clear,14.0
R000137,2025-07-16 20:52:00,20:52,Wednesday,Suburb,Medium,14.0,Premium,Rainy,16.0
R000138,2025-07-26 12:39:00,12:39,Saturday,University,Medium,13.0,Standard,Rainy,15.0
R000139,2025-05-01 20:26:00,20:26,Thursday,City_Center,Medium,16.0,Standard,Clear,9.0
R000140,2025-05-16 11:49:00,11:49,Friday,Industrial,Medium,7.0,Standard,Clear,19.0
R000141,2025-05-19 22:46:00,22:46,Monday,Industrial,Low,8.0,Shared,Clear,17.0
R000142,2025-07-15 07:30:00,07:30,Tuesday,Suburb,High,9.0,Standard,Stormy,24.0
R000143,2025-05-05 21:26:00,21:26,Monday,Residential,Medium,14.0,Standard,Clear,16.0
R000144,2025-06-24 14:24:00,14:24,Tuesday,Residential,Medium,16.0,Premium,Clear,15.0
R000145,2025-07-01 13:14:00,13:14,Tuesday,Suburb,Medium,9.0,Premium,Clear,16.0
R000146,2025-05-05 07:53:00,07:53,Monday,Mall,High,6.0,Standard,Clear,24.0
R000147,2025-05-07 02:08:00,02:08,Wednesday,City_Center,Low,16.0,Standard,Clear,10.0
R000148,2025-07-17 22:50:00,22:50,Thursday,City_Center,Low,16.0,Premium,Clear,9.0
R000149,2025-06-02 17:17:00,17:17,Monday,Suburb,High,14.0,Standard,Clear,24.0
R000150,2025-05-06 11:00:00,11:00,Tuesday,City_Center,Medium,17.0,Standard,Rainy,14.0
R000151,2025-07-21 06:59:00,06:59,Monday,City_Center,Medium,21.0,Standard,Clear,14.0
R000152,2025-05-06 07:11:00,07:11,Tuesday,City_Center,High,21.0,Premium,Clear,18.0
R000153,2025-06-20 02:26:00,02:26,Friday,City_Center,Low,10.0,Premium,Rainy,18.0
R000154,2025-05-12 12:56:00,12:56,Monday,Residential,Medium,4.0,Standard,Rainy,19.0
R000155,2025-07-14 04:45:00,04:45,Monday,Mall,Low,8.0,Standard,Clear,13.0
R000156,2025-05-04 15:06:00,15:06,Sunday,Industrial,Medium,9.0,Standard,Rainy,16.0
R000157,2025-07-16 19:17:00,19:17,Wednesday,City_Center,High,15.0,Standard,Clear,20.0
R000158,2025-05-01 17:33:00,17:33,Thursday,Airport,High,11.0,Standard,Clear,23.0
R000159,2025-06-21 17:49:00,17:49,Saturday,City_Center,High,21.0,Standard,Clear,13.0
R000160,2025-06-22 04:16:00,04:16,Sunday,Residential,Low,6.0,Premium,Rainy,24.0
R000161,2025-05-14 09:35:00,09:35,Wednesday,Suburb,High,9.0,Standard,Clear,19.0
R000162,2025-05-21 04:36:00,04:36,Wednesday,Residential,Low,5.0,Premium,Clear,16.0
R000163,2025-05-31 01:57:00,01:57,Saturday,University,Low,4.0,Standard,Clear,22.0
R000164,2025-06-10 07:43:00,07:43,Tuesday,Residential,High,11.0,Standard,Clear,20.0
R000165,2025-06-26 00:53:00,00:53,Thursday,Mall,Low,7.0,Standard,Rainy,16.0
R000166,2025-05-07 18:01:00,18:01,Wednesday,Suburb,High,13.0,Standard,Rainy,22.0
R000167,2025-06-30 17:37:00,17:37,Monday,City_Center,High,22.0,Standard,Clear,15.0
R000168,2025-05-15 14:12:00,14:12,Thursday,Airport,Medium,18.0,Premium,Clear,11.0
R000169,2025-05-09 13:42:00,13:42,Friday,University,Medium,8.0,Premium,Rainy,17.0
R000170,2025-06-29 05:34:00,05:34,Sunday,Residential,Low,12.0,Shared,Clear,16.0
R000171,2025-06-25 06:10:00,06:10,Wednesday,Suburb,Medium,12.0,Standard,Clear,17.0
R000172,2025-07-27 21:32:00,21:32,Sunday,Mall,Medium,12.0,Premium,Rainy,16.0
R000173,2025-05-15 03:26:00,03:26,Thursday,Residential,Low,6.0,Standard,Rainy,21.0
R000174,2025-07-24 01:55:00,01:55,Thursday,City_Center,Low,22.0,Standard,Clear,15.0
R000175,2025-07-27 15:41:00,15:41,Sunday,Suburb,Medium,10.0,Standard,Rainy,21.0
R000176,2025-05-07 03:46:00,03:46,Wednesday,Industrial,Low,5.0,Standard,Stormy,31.0
R000177,2025-05-24 01:52:00,01:52,Saturday,Suburb,Low,7.0,Premium,Rainy,21.0
R000178,2025-06-26 22:04:00,22:04,Thursday,University,Low,15.0,Standard,Clear,13.0
R000179,2025-07-26 19:38:00,19:38,Saturday,Mall,High,17.0,Premium,Rainy,16.0
R000180,2025-07-03 12:48:00,12:48,Thursday,Industrial,Medium,10.0,Standard,Clear,14.0
R000181,2025-05-25 02:14:00,02:14,Sunday,Airport,Low,9.0,Standard,Clear,16.0
R000182,2025-07-11 08:54:00,08:54,Friday,City_Center,High,24.0,Standard,Clear,13.0
R000183,2025-06-03 18:36:00,18:36,Tuesday,Residential,High,19.0,Shared,Clear,21.0
R000184,2025-06-23 20:54:00,20:54,Monday,City_Center,Medium,32.0,Standard,Rainy,15.0
R000185,2025-07-25 08:05:00,08:05,Friday,Industrial,High,8.0,Standard,Clear,20.0
R000186,2025-06-03 10:31:00,10:31,Tuesday,City_Center,Medium,19.0,Standard,Clear,12.0
R000187,2025-05-28 02:42:00,02:42,Wednesday,Industrial,Low,2.0,Premium,Clear,21.0
R000188,2025-05-01 09:48:00,09:48,Thursday,Suburb,High,11.0,Standard,Clear,20.0
R000189,2025-06-06 08:50:00,08:50,Friday,Suburb,High,8.0,Standard,Clear,20.0
R000190,2025-05-30 05:56:00,05:56,Friday,Airport,Low,9.0,Standard,Clear,15.0
R000191,2025-05-25 06:46:00,06:46,Sunday,Residential,Medium,17.0,Standard,Clear,13.0
R000192,2025-06-29 23:26:00,23:26,Sunday,City_Center,Low,28.0,Standard,Clear,6.0
R000193,2025-05-02 20:01:00,20:01,Friday,City_Center,Medium,17.0,Standard,Clear,13.0
R000194,2025-05-28 13:38:00,13:38,Wednesday,University,Medium,10.0,Standard,Stormy,21.0
R000195,2025-06-17 10:21:00,10:21,Tuesday,City_Center,Medium,20.0,Standard,Clear,13.0
R000196,2025-05-28 17:21:00,17:21,Wednesday,University,High,13.0,Premium,Rainy,16.0
R000197,2025-07-26 06:18:00,06:18,Saturday,Suburb,Medium,5.0,Standard,Clear,16.0
R000198,2025-05-24 06:05:00,06:05,Saturday,Mall,Medium,14.0,Standard,Clear,14.0
R000199,2025-07-11 12:20:00,12:20,Friday,Residential,Medium,20.0,Shared,Clear,15.0
R000200,2025-05-18 15:30:00,15:30,Sunday,,Medium,10.0,Standard,Clear,19.0
R000201,2025-05-20 11:06:00,11:06,Tuesday,University,Medium,13.0,Standard,Clear,11.0
R000202,2025-07-07 01:27:00,01:27,Monday,Suburb,Low,4.0,Standard,Clear,16.0
R000203,2025-05-08 06:48:00,06:48,Thursday,City_Center,Medium,22.0,Standard,Clear,16.0
R000204,2025-07-29 18:48:00,18:48,Tuesday,Suburb,High,13.0,Standard,Clear,19.0
R000205,2025-06-25 09:56:00,09:56,Wednesday,Suburb,High,13.0,Standard,Stormy,30.0
R000206,2025-06-30 09:03:00,09:03,Monday,City_Center,High,22.0,Standard,Clear,15.0
R000207,2025-06-08 05:58:00,05:58,Sunday,City_Center,Low,14.0,Standard,Clear,13.0
R000208,2025-07-23 19:00:00,19:00,Wednesday,Suburb,High,18.0,Standard,Clear,20.0
R000209,2025-05-18 11:08:00,11:08,Sunday,University,Medium,9.0,Standard,Clear,14.0
R000210,2025-06-28 00:50:00,00:50,Saturday,University,Low,2.0,Premium,Clear,17.0
R000211,2025-05-18 03:06:00,03:06,Sunday,City_Center,Low,12.0,Standard,Rainy,17.0
R000212,2025-07-22 12:54:00,12:54,Tuesday,Residential,Medium,15.0,Standard,Clear,12.0
R000213,2025-06-11 18:05:00,18:05,Wednesday,Airport,High,12.0,Standard,Clear,21.0
R000214,2025-06-22 04:03:00,04:03,Sunday,Suburb,Low,7.0,Standard,Clear,18.0
R000215,2025-06-02 22:44:00,22:44,Monday,Suburb,Low,13.0,Standard,Clear,15.0
R000216,2025-05-21 23:29:00,23:29,Wednesday,Suburb,Low,6.0,Premium,Rainy,20.0
R000217,2025-07-10 18:45:00,18:45,Thursday,Suburb,High,9.0,Premium,Clear,22.0
R000218,2025-06-29 20:47:00,20:47,Sunday,Suburb,Medium,15.0,Standard,Stormy,24.0
R000219,2025-05-14 11:31:00,11:31,Wednesday,Suburb,Medium,10.0,Premium,Rainy,15.0
R000220,2025-06-02 23:22:00,23:22,Monday,University,Low,15.0,Standard,Clear,9.0
R000221,2025-05-04 06:12:00,06:12,Sunday,City_Center,Medium,25.0,Standard,Clear,11.0
R000222,2025-06-12 20:41:00,20:41,Thursday,Mall,Medium,7.0,Premium,Rainy,22.0
R000223,2025-05-02 23:30:00,23:30,Friday,Mall,Low,13.0,Standard,Rainy,15.0
R000224,2025-06-09 21:47:00,21:47,Monday,City_Center,Medium,23.0,Standard,Rainy,10.0
R000225,2025-06-19 06:21:00,06:21,Thursday,City_Center,Medium,12.0,Standard,Clear,14.0
R000226,2025-07-02 18:00:00,18:00,Wednesday,Mall,High,13.0,Standard,Clear,19.0
R000227,2025-06-18 12:14:00,12:14,Wednesday,Residential,Medium,15.0,Standard,Clear,12.0
R000228,2025-07-03 15:13:00,15:13,Thursday,Suburb,Medium,6.0,Standard,Clear,22.0
R000229,2025-06-19 01:15:00,01:15,Thursday,Residential,Low,7.0,Premium,Clear,10.0
R000230,2025-05-10 17:39:00,17:39,Saturday,Residential,High,13.0,Standard,Rainy,23.0
R000231,2025-07-24 09:48:00,09:48,Thursday,City_Center,High,14.0,Standard,Clear,18.0
R000232,2025-05-23 01:43:00,01:43,Friday,University,Low,5.0,Standard,Clear,13.0
R000233,2025-06-06 01:25:00,01:25,Friday,City_Center,Low,19.0,Standard,Clear,14.0
R000234,2025-07-11 06:24:00,06:24,Friday,Residential,Medium,4.0,Standard,Rainy,19.0
R000235,2025-05-10 00:14:00,00:14,Saturday,Suburb,Low,2.0,Premium,Clear,17.0
R000236,2025-05-25 03:51:00,03:51,Sunday,Residential,Low,7.0,Standard,Clear,14.0
R000237,2025-06-02 06:38:00,06:38,Monday,Airport,Medium,14.0,Standard,Clear,16.0
R000238,2025-05-17 17:11:00,17:11,Saturday,City_Center,High,22.0,Premium,Rainy,24.0
R000239,2025-05-24 20:07:00,20:07,Saturday,Airport,Medium,18.0,Standard,Stormy,18.0
R000240,2025-06-18 16:26:00,16:26,Wednesday,Airport,High,17.0,Premium,Rainy,19.0
R000241,2025-05-30 11:28:00,11:28,Friday,Suburb,Medium,15.0,Premium,Clear,15.0
R000242,2025-07-04 01:22:00,01:22,Friday,City_Center,Low,18.0,Standard,Clear,13.0
R000243,2025-07-20 11:54:00,11:54,Sunday,Mall,Medium,16.0,Standard,Clear,11.0
R000244,2025-05-28 16:46:00,16:46,Wednesday,City_Center,High,7.0,Premium,Clear,21.0
R000245,2025-05-13 20:21:00,20:21,Tuesday,City_Center,Medium,18.0,Standard,Clear,13.0
R000246,2025-06-26 07:07:00,07:07,Thursday,City_Center,High,13.0,Standard,Rainy,18.0
R000247,2025-06-29 15:41:00,15:41,Sunday,Suburb,Medium,10.0,Premium,Clear,15.0
R000248,2025-05-10 06:12:00,06:12,Saturday,City_Center,Medium,10.0,Shared,Clear,17.0
R000249,2025-07-04 02:53:00,02:53,Friday,University,Low,6.0,Premium,Clear,15.0
R000250,2025-07-23 20:24:00,20:24,Wednesday,University,Medium,14.0,Standard,Clear,12.0
R000251,2025-05-07 05:32:00,05:32,Wednesday,Industrial,Low,3.0,Standard,Clear,18.0
R000252,2025-06-29 01:57:00,01:57,Sunday,Mall,Low,9.0,Standard,Clear,13.0
R000253,2025-07-02 11:04:00,11:04,Wednesday,City_Center,Medium,22.0,Standard,Clear,10.0
R000254,2025-07-24 17:24:00,17:24,Thursday,Suburb,High,16.0,Standard,Clear,23.0
R000255,2025-05-26 13:04:00,13:04,Monday,Residential,Medium,10.0,Standard,Clear,16.0
R000256,2025-07-10 05:31:00,05:31,Thursday,City_Center,Low,13.0,Standard,Clear,15.0
R000257,2025-06-07 01:54:00,01:54,Saturday,Residential,Low,4.0,Standard,Clear,18.0
R000258,2025-06-23 22:54:00,22:54,Monday,Residential,Low,15.0,Standard,Clear,8.0
R000259,2025-06-14 20:45:00,20:45,Saturday,Suburb,Medium,13.0,Standard,Rainy,20.0
R000260,2025-06-27 21:51:00,21:51,Friday,Airport,Medium,16.0,Standard,Clear,15.0
R000261,2025-06-10 15:13:00,15:13,Tuesday,Industrial,Medium,14.0,Standard,Rainy,18.0
R000262,2025-06-14 17:26:00,17:26,Saturday,Residential,High,19.0,Standard,Clear,20.0
R000263,2025-06-03 01:43:00,01:43,Tuesday,Industrial,Low,5.0,Shared,Clear,14.0
R000264,2025-07-15 01:30:00,01:30,Tuesday,Industrial,Low,3.0,Standard,Rainy,20.0
R000265,2025-07-15 12:57:00,12:57,Tuesday,Mall,Medium,8.0,Shared,Clear,18.0
R000266,2025-06-27 20:34:00,20:34,Friday,City_Center,Medium,27.0,Standard,Clear,10.0
R000267,2025-07-18 21:08:00,21:08,Friday,University,Medium,17.0,Shared,Clear,10.0
R000268,2025-07-23 19:29:00,19:29,Wednesday,Airport,High,13.0,Standard,Clear,15.0
R000269,2025-05-10 12:52:00,12:52,Saturday,University,Medium,14.0,Standard,Rainy,21.0
R000270,2025-07-29 22:47:00,22:47,Tuesday,Airport,Low,15.0,Premium,Clear,11.0
R000271,2025-05-17 12:36:00,12:36,Saturday,Airport,Medium,17.0,Standard,Clear,9.0
R000272,2025-07-13 05:36:00,05:36,Sunday,Airport,Low,7.0,Standard,Rainy,21.0
R000273,2025-06-30 23:00:00,23:00,Monday,Suburb,Low,9.0,Standard,Stormy,21.0
R000274,2025-05-11 15:14:00,15:14,Sunday,Suburb,Medium,8.0,Standard,Rainy,18.0
R000275,2025-05-17 01:23:00,01:23,Saturday,Residential,Low,4.0,Standard,Clear,20.0
R000276,2025-07-14 19:06:00,19:06,Monday,Suburb,High,15.0,Premium,Clear,22.0
R000277,2025-05-15 09:44:00,09:44,Thursday,Suburb,High,15.0,Standard,Rainy,26.0
